canton,mes,anio,produccion,area,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,IMERG_PRECTOT,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS10M,WS2M
TURRIALBA,enero,2005,136.21,5.95,13.86,10.63,23.37,0.91,0.92,0.9,-999.0,210.55,91.77,18.81,17.22,18.01,25.36,14.42,1.82,0.16
TURRIALBA,febrero,2005,66.24,2.8,17.88,11.44,25.49,0.85,0.86,0.86,-999.0,117.71,88.51,18.42,16.18,17.3,25.95,13.7,1.72,0.16
TURRIALBA,marzo,2005,14.9,0.7,17.3,11.63,25.93,0.75,0.75,0.76,-999.0,50.42,85.4,20.48,17.54,19.01,26.42,14.77,1.05,0.14
TURRIALBA,abril,2005,60.03,2.45,16.58,11.87,26.34,0.74,0.75,0.76,-999.0,203.88,85.99,20.78,17.91,19.34,27.34,14.39,1.34,0.14
TURRIALBA,mayo,2005,140.76,4.9,16.1,12.05,26.37,0.76,0.77,0.79,-999.0,175.48,89.55,21.33,19.24,20.29,27.64,16.94,0.92,0.13
TURRIALBA,junio,2005,240.12,9.8,15.58,11.99,26.03,0.84,0.86,0.87,-999.0,248.03,93.36,21.24,19.94,20.59,26.92,17.39,0.61,0.15
TURRIALBA,julio,2005,372.6,12.6,16.5,12.05,26.28,0.91,0.93,0.91,-999.0,205.64,91.62,20.87,19.2,20.04,26.88,16.8,0.88,0.14
TURRIALBA,agosto,2005,186.3,7.0,15.2,12.06,26.35,0.94,0.96,0.93,-999.0,215.05,92.32,20.41,18.9,19.65,25.4,16.56,0.89,0.13
TURRIALBA,septiembre,2005,178.02,7.35,14.77,11.92,26.04,0.96,0.98,0.95,-999.0,308.52,93.82,20.29,19.07,19.68,25.93,16.37,0.78,0.13
TURRIALBA,octubre,2005,,,13.68,11.52,25.04,0.98,0.99,0.97,-999.0,352.25,94.36,20.36,19.23,19.79,25.58,17.65,0.77,0.11
TURRIALBA,noviembre,2005,,,13.03,10.68,23.28,0.97,0.99,0.95,-999.0,223.7,92.86,19.69,18.26,18.97,25.02,14.45,1.04,0.14
TURRIALBA,diciembre,2005,274.9,9.8,16.24,10.27,22.66,0.88,0.89,0.88,-999.0,62.03,89.21,18.94,16.8,17.87,24.76,12.42,1.24,0.15
OREAMUNO,enero,2005,3000.38,118.4,13.86,10.63,23.37,0.91,0.92,0.9,-999.0,210.55,91.77,18.81,17.22,18.01,25.36,14.42,1.82,0.16
OREAMUNO,febrero,2005,2726.91,115.14,17.88,11.44,25.49,0.85,0.86,0.86,-999.0,117.71,88.51,18.42,16.18,17.3,25.95,13.7,1.72,0.16
OREAMUNO,marzo,2005,3857.77,152.43,17.3,11.63,25.93,0.75,0.75,0.76,-999.0,50.42,85.4,20.48,17.54,19.01,26.42,14.77,1.05,0.14
OREAMUNO,abril,2005,1011.56,41.91,16.58,11.87,26.34,0.74,0.75,0.76,-999.0,203.88,85.99,20.78,17.91,19.34,27.34,14.39,1.34,0.14
OREAMUNO,mayo,2005,1129.42,50.43,16.1,12.05,26.37,0.76,0.77,0.79,-999.0,175.48,89.55,21.33,19.24,20.29,27.64,16.94,0.92,0.13
OREAMUNO,junio,2005,1166.89,52.21,15.58,11.99,26.03,0.84,0.86,0.87,-999.0,248.03,93.36,21.24,19.94,20.59,26.92,17.39,0.61,0.15
OREAMUNO,julio,2005,1238.39,50.93,16.5,12.05,26.28,0.91,0.93,0.91,-999.0,205.64,91.62,20.87,19.2,20.04,26.88,16.8,0.88,0.14
OREAMUNO,agosto,2005,1455.83,60.28,15.2,12.06,26.35,0.94,0.96,0.93,-999.0,215.05,92.32,20.41,18.9,19.65,25.4,16.56,0.89,0.13
OREAMUNO,septiembre,2005,2824.54,114.8,14.77,11.92,26.04,0.96,0.98,0.95,-999.0,308.52,93.82,20.29,19.07,19.68,25.93,16.37,0.78,0.13
OREAMUNO,octubre,2005,1843.6,77.65,13.68,11.52,25.04,0.98,0.99,0.97,-999.0,352.25,94.36,20.36,19.23,19.79,25.58,17.65,0.77,0.11
OREAMUNO,noviembre,2005,1409.67,52.5,13.03,10.68,23.28,0.97,0.99,0.95,-999.0,223.7,92.86,19.69,18.26,18.97,25.02,14.45,1.04,0.14
OREAMUNO,diciembre,2005,934.37,41.11,16.24,10.27,22.66,0.88,0.89,0.88,-999.0,62.03,89.21,18.94,16.8,17.87,24.76,12.42,1.24,0.15
EL GUARCO,enero,2005,49.94,3.34,13.86,10.63,23.37,0.85,0.85,0.87,-999.0,178.34,82.13,20.62,17.27,18.94,25.86,16.56,1.41,0.43
EL GUARCO,febrero,2005,31.5,2.22,17.88,11.44,25.49,0.77,0.77,0.78,-999.0,100.41,78.02,20.49,16.22,18.35,27.65,15.68,1.66,0.54
EL GUARCO,marzo,2005,,,17.3,11.63,25.93,0.7,0.7,0.71,-999.0,60.82,80.33,21.97,17.92,19.95,28.22,17.13,0.78,0.42
EL GUARCO,abril,2005,,,16.58,11.87,26.34,0.72,0.72,0.76,-999.0,197.16,80.53,22.24,18.3,20.27,28.1,16.87,1.0,0.42
EL GUARCO,mayo,2005,48.72,2.46,16.1,12.05,26.37,0.76,0.77,0.81,-999.0,171.88,88.07,21.93,19.61,20.77,27.82,18.74,0.92,0.48
EL GUARCO,junio,2005,36.79,2.83,15.58,11.99,26.03,0.82,0.83,0.87,-999.0,219.55,92.43,21.58,20.14,20.86,26.56,18.84,1.17,0.56
EL GUARCO,julio,2005,91.89,5.95,16.5,12.05,26.28,0.87,0.88,0.9,-999.0,189.66,88.86,21.6,19.46,20.53,26.77,18.68,0.86,0.45
EL GUARCO,agosto,2005,34.77,2.16,15.2,12.06,26.35,0.91,0.92,0.92,-999.0,216.33,90.35,21.25,19.39,20.32,25.9,17.94,0.82,0.46
EL GUARCO,septiembre,2005,68.15,3.87,14.77,11.92,26.04,0.93,0.94,0.94,-999.0,270.77,91.57,21.03,19.42,20.22,26.46,18.1,1.11,0.55
EL GUARCO,octubre,2005,42.79,2.11,13.68,11.52,25.04,0.95,0.97,0.95,-999.0,294.22,94.65,20.31,19.3,19.81,24.83,18.26,1.65,0.68
EL GUARCO,noviembre,2005,63.15,3.52,13.03,10.68,23.28,0.97,0.99,0.95,-999.0,250.39,90.96,20.4,18.66,19.53,24.91,16.7,0.8,0.44
EL GUARCO,diciembre,2005,49.96,2.46,16.24,10.27,22.66,0.88,0.89,0.88,-999.0,58.58,83.88,20.07,16.99,18.53,24.93,14.1,0.84,0.4
CARTAGO,enero,2005,1991.51,92.81,13.86,10.63,23.37,0.91,0.92,0.9,-999.0,210.55,91.77,18.81,17.22,18.01,25.36,14.42,1.82,0.16
CARTAGO,febrero,2005,2225.56,99.27,17.88,11.44,25.49,0.85,0.86,0.86,-999.0,117.71,88.51,18.42,16.18,17.3,25.95,13.7,1.72,0.16
CARTAGO,marzo,2005,1585.93,74.75,17.3,11.63,25.93,0.75,0.75,0.76,-999.0,50.42,85.4,20.48,17.54,19.01,26.42,14.77,1.05,0.14
CARTAGO,abril,2005,101.02,4.9,16.58,11.87,26.34,0.74,0.75,0.76,-999.0,203.88,85.99,20.78,17.91,19.34,27.34,14.39,1.34,0.14
CARTAGO,mayo,2005,488.93,22.76,16.1,12.05,26.37,0.76,0.77,0.79,-999.0,175.48,89.55,21.33,19.24,20.29,27.64,16.94,0.92,0.13
CARTAGO,junio,2005,1753.28,69.31,15.58,11.99,26.03,0.84,0.86,0.87,-999.0,248.03,93.36,21.24,19.94,20.59,26.92,17.39,0.61,0.15
CARTAGO,julio,2005,4211.09,160.48,16.5,12.05,26.28,0.91,0.93,0.91,-999.0,205.64,91.62,20.87,19.2,20.04,26.88,16.8,0.88,0.14
CARTAGO,agosto,2005,193.22,11.03,15.2,12.06,26.35,0.94,0.96,0.93,-999.0,215.05,92.32,20.41,18.9,19.65,25.4,16.56,0.89,0.13
CARTAGO,septiembre,2005,4761.66,226.65,14.77,11.92,26.04,0.96,0.98,0.95,-999.0,308.52,93.82,20.29,19.07,19.68,25.93,16.37,0.78,0.13
CARTAGO,octubre,2005,2332.76,107.64,13.68,11.52,25.04,0.98,0.99,0.97,-999.0,352.25,94.36,20.36,19.23,19.79,25.58,17.65,0.77,0.11
